INSTNM,CITY,STABBR,ZIP,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL
Abilene Christian University,Abilene,TX,79699,0.6148,515,630,500,600,450,570,573,550,510,21,28,19,28,18,26,6,8,25,24,22,7,1164,1164
Abraham Baldwin Agricultural College,Tifton,GA,31793-2601,0.7342,470,580,460,540,NULL,NULL,525,500,NULL,17,22,15,22,16,21,NULL,NULL,20,19,19,NULL,1029,1029
Academy of Interactive Entertainment,Seattle,WA,98109-4623,0.9231,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Academy of Interactive Entertainment,Lafayette,LA,70506-4293,0.8627,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Adams State University,Alamosa,CO,81101,0.9909,450,550,440,540,NULL,NULL,500,490,NULL,17,22,15,21,16,22,NULL,NULL,20,18,19,NULL,1003,1003
Adelphi University,Garden City,NY,11530-0701,0.743,530,630,530,620,500,620,580,575,560,21,27,22,29,19,26,7,8,24,26,23,8,1161,1161
Adrian College,Adrian,MI,49221-2575,0.5593,480,580,480,520,NULL,NULL,530,500,NULL,19,24,16,24,17,25,NULL,NULL,22,20,21,NULL,1046,1046
Adult and Community Education-Hudson,Columbus,OH,43211,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Advanced Technology Institute,Virginia Beach,VA,23462,0.4791,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdventHealth University,Orlando,FL,32803,0.5053,510,600,510,560,NULL,NULL,555,535,NULL,18,21,19,23,18,21,NULL,NULL,20,21,20,NULL,1072,1072
