overall_qual,age,exter_qual,bsmt_qual,total_bsmt_sf,heating_qc,1st_flr_sf,gr_liv_area,total_bath,kitchen_qual,fireplace_qu,garage_cars,house_style,exterior_1st,mas_vnr_type,foundation,garage_type,overall_qual*overall_qual,overall_qual*gr_liv_area,exter_qual*1st_flr_sf,total_bsmt_sf*kitchen_qual,mas_vnr_area,lot_area,bsmtfin_type_1,ms_zoning,lot_config,saleprice
6,5,4,3,725.0,5,725,1479,2.5,4,0,2.0,2Story,HdBoard,BrkFace,CBlock,Attchd,36,8874,2900,2900.0,289.0,13517,6,RL,CulDSac,130500
7,12,4,4,913.0,5,913,2122,3.5,4,3,2.0,2Story,VinylSd,BrkFace,PConc,Attchd,49,14854,3652,3652.0,132.0,11492,6,RL,CulDSac,220000
5,3,3,3,1057.0,3,1057,1057,2.0,4,0,1.0,1Story,VinylSd,None,CBlock,Detchd,25,5285,3171,4228.0,0.0,7922,6,RL,Inside,109000
5,3,3,4,384.0,4,744,1444,2.5,3,0,2.0,2Story,VinylSd,None,PConc,BuiltIn,25,7220,2232,1152.0,0.0,9802,1,RL,Inside,174000
6,17,3,2,676.0,3,831,1445,2.0,3,0,2.0,1.5Fin,Wd Sdng,None,PConc,Detchd,36,8670,2493,2028.0,0.0,14235,1,RL,Inside,138500
6,8,4,3,1517.0,5,1888,1888,2.5,4,4,2.0,1Story,BrkFace,None,CBlock,Attchd,36,11328,7552,6068.0,0.0,16492,5,RL,Corner,190000
6,0,3,4,547.0,4,1072,1072,3.0,3,0,2.0,SFoyer,VinylSd,BrkFace,PConc,Basment,36,6432,3216,1641.0,82.0,3675,6,RM,Inside,140000
5,51,3,3,1188.0,2,1188,1188,2.0,3,0,2.0,1Story,Plywood,BrkFace,CBlock,Attchd,25,5940,3564,3564.0,180.0,12160,3,RL,Inside,142000
5,55,3,3,924.0,3,924,924,1.0,3,0,1.0,1Story,Wd Sdng,None,CBlock,Detchd,25,4620,2772,2772.0,0.0,15783,3,RL,Inside,112500
5,38,3,4,1040.0,3,1040,2080,2.5,2,3,2.0,2Story,Plywood,BrkFace,PConc,Attchd,25,10400,3120,2080.0,192.0,11606,3,RL,Inside,135000
6,37,3,3,483.0,3,483,987,1.5,3,0,1.0,2Story,HdBoard,BrkFace,CBlock,Detchd,36,5922,1449,1449.0,232.0,1680,5,RM,Inside,85400
7,1,4,4,1208.0,5,1208,1208,2.0,4,0,2.0,1Story,VinylSd,None,PConc,Attchd,49,8456,4832,4832.0,0.0,7488,6,RL,Inside,183600
5,2,4,0,0.0,5,1288,2016,1.0,3,3,2.0,2Story,HdBoard,None,PConc,Attchd,25,10080,5152,0.0,0.0,26400,0,RL,FR2,131000
8,8,4,4,960.0,5,962,1607,3.5,4,0,2.0,2Story,MetalSd,BrkFace,PConc,Detchd,64,12856,3848,3840.0,456.0,2645,6,FV,Inside,200000
