overall_qual,age,exter_qual,bsmt_qual,total_bsmt_sf,heating_qc,1st_flr_sf,gr_liv_area,total_bath,kitchen_qual,totrms_abvgrd,fireplace_qu,garage_age,garage_finish,garage_cars,house_style,exterior_1st,mas_vnr_type,foundation,garage_type,saleprice
6,5,4,3,725.0,5,725,1479,2.5,4,6,0,34.0,2,2.0,2Story,HdBoard,BrkFace,CBlock,Attchd,130500
7,12,4,4,913.0,5,913,2122,3.5,4,8,3,12.0,2,2.0,2Story,VinylSd,BrkFace,PConc,Attchd,220000
5,3,3,3,1057.0,3,1057,1057,2.0,4,5,0,57.0,1,1.0,1Story,VinylSd,None,CBlock,Detchd,109000
5,3,3,4,384.0,4,744,1444,2.5,3,7,0,3.0,3,2.0,2Story,VinylSd,None,PConc,BuiltIn,174000
6,17,3,2,676.0,3,831,1445,2.0,3,6,0,53.0,1,2.0,1.5Fin,Wd Sdng,None,PConc,Detchd,138500
6,8,4,3,1517.0,5,1888,1888,2.5,4,6,4,44.0,3,2.0,1Story,BrkFace,None,CBlock,Attchd,190000
6,0,3,4,547.0,4,1072,1072,3.0,3,5,0,1.0,3,2.0,SFoyer,VinylSd,BrkFace,PConc,Basment,140000
5,51,3,3,1188.0,2,1188,1188,2.0,3,6,0,51.0,2,2.0,1Story,Plywood,BrkFace,CBlock,Attchd,142000
5,55,3,3,924.0,3,924,924,1.0,3,6,0,55.0,1,1.0,1Story,Wd Sdng,None,CBlock,Detchd,112500
5,38,3,4,1040.0,3,1040,2080,2.5,2,9,3,38.0,1,2.0,2Story,Plywood,BrkFace,PConc,Attchd,135000
6,37,3,3,483.0,3,483,987,1.5,3,4,0,37.0,1,1.0,2Story,HdBoard,BrkFace,CBlock,Detchd,85400
7,1,4,4,1208.0,5,1208,1208,2.0,4,6,0,1.0,2,2.0,1Story,VinylSd,None,PConc,Attchd,183600
5,2,4,0,0.0,5,1288,2016,1.0,3,7,3,109.0,1,2.0,2Story,HdBoard,None,PConc,Attchd,131000
8,8,4,4,960.0,5,962,1607,3.5,4,7,0,8.0,1,2.0,2Story,MetalSd,BrkFace,PConc,Detchd,200000
7,1,4,4,1351.0,5,1361,1361,2.0,4,6,0,1.0,2,2.0,1Story,VinylSd,None,PConc,Attchd,193000
5,5,3,5,1430.0,5,1430,1430,2.0,4,7,0,6.0,2,2.0,1Story,VinylSd,None,PConc,Attchd,173500
5,58,3,3,624.0,2,624,1344,1.0,3,7,0,92.0,1,3.0,2Story,AsbShng,None,BrkTil,Detchd,98000
5,46,3,3,1121.0,3,1121,1121,2.0,3,5,0,46.0,1,2.0,1Story,VinylSd,None,PConc,Detchd,139000
6,30,3,3,660.0,5,1285,1285,1.5,3,7,3,30.0,2,2.0,1Story,Plywood,BrkFace,CBlock,Attchd,143500
7,1,3,4,756.0,5,764,1547,2.5,4,7,0,1.0,1,2.0,2Story,VinylSd,None,PConc,Attchd,215200
5,39,3,4,894.0,4,894,894,1.0,3,5,1,39.0,3,2.0,1Story,VinylSd,None,CBlock,Attchd,129000
8,9,4,4,1501.0,5,1659,1659,3.0,5,5,5,9.0,3,2.0,1Story,CemntBd,None,PConc,Attchd,278000
6,3,3,4,1168.0,5,1187,1187,3.0,3,6,0,18.0,3,2.0,1Story,HdBoard,None,PConc,Attchd,185000
5,51,3,3,1056.0,3,1056,1056,2.0,3,5,0,51.0,3,2.0,1Story,Wd Sdng,None,CBlock,Attchd,145000
6,48,3,3,1453.0,5,1453,1453,3.0,3,6,3,48.0,2,2.0,1Story,MetalSd,BrkFace,CBlock,Attchd,187500
5,1,3,3,894.0,5,894,894,2.0,3,5,4,37.0,1,1.0,1Story,MetalSd,None,CBlock,Detchd,138500
5,13,3,3,942.0,5,1265,1938,2.0,4,7,4,71.0,1,1.0,1.5Fin,WdShing,None,CBlock,Detchd,198000
5,1,3,3,672.0,5,672,924,1.0,3,6,1,4.0,1,2.0,1.5Fin,MetalSd,None,CBlock,Detchd,122900
8,28,4,4,2524.0,3,2524,2524,3.5,4,9,4,28.0,3,2.0,1Story,BrkFace,None,PConc,Attchd,278000
8,56,3,4,792.0,2,792,1517,1.0,4,7,4,75.0,1,2.0,2Story,BrkFace,None,PConc,Detchd,230000
8,10,4,4,1494.0,5,1494,1494,2.5,5,6,4,11.0,3,2.0,1Story,BrkFace,None,PConc,Attchd,270000
6,55,3,3,948.0,3,948,948,1.0,3,5,0,55.0,1,2.0,1Story,Wd Sdng,None,CBlock,Detchd,125000
8,1,4,5,1705.0,5,1718,1718,3.0,4,7,4,2.0,2,3.0,1Story,VinylSd,Stone,PConc,Attchd,297000
6,51,3,4,160.0,2,1142,1142,1.0,3,5,4,51.0,2,1.0,1Story,Wd Sdng,BrkFace,CBlock,Basment,113500
5,29,3,3,757.0,5,925,1475,2.0,3,6,3,29.0,2,1.0,2Story,CemntBd,None,PConc,Attchd,127000
6,33,3,4,1844.0,5,1844,1844,2.0,3,7,3,33.0,2,2.0,1Story,Plywood,BrkFace,CBlock,Attchd,190000
7,34,3,3,1242.0,2,1242,1242,1.5,3,6,3,34.0,1,2.0,1Story,HdBoard,BrkFace,CBlock,Attchd,175500
5,13,3,4,990.0,5,990,990,2.0,3,5,0,12.0,1,1.0,1Story,VinylSd,None,PConc,Detchd,146000
5,43,4,3,1256.0,4,1256,1256,2.5,3,6,0,43.0,3,1.0,1Story,HdBoard,None,CBlock,Attchd,147500
5,31,3,4,1097.0,5,1110,1110,2.0,4,4,3,31.0,3,2.0,SFoyer,Plywood,BrkFace,PConc,Attchd,165500
5,54,3,3,1050.0,5,1050,1795,2.0,3,7,0,54.0,1,1.0,1.5Fin,MetalSd,BrkFace,BrkTil,Attchd,131500
5,43,3,3,1040.0,5,1040,1040,2.0,3,5,0,43.0,1,1.0,1Story,HdBoard,None,CBlock,Detchd,129500
8,58,3,3,608.0,3,983,1873,1.5,3,9,4,73.0,3,2.0,2Story,BrkFace,Stone,PConc,Detchd,257076
5,49,3,3,984.0,5,984,1604,2.0,3,6,0,32.0,1,2.0,1.5Fin,Wd Sdng,None,CBlock,Detchd,117000
7,8,3,4,776.0,3,851,1502,1.5,3,6,4,77.0,2,1.0,2Story,Stucco,None,BrkTil,Attchd,149000
5,56,3,3,1056.0,3,1063,1063,2.0,3,6,0,56.0,2,1.0,1Story,HdBoard,Stone,CBlock,Attchd,128000
7,4,4,4,764.0,5,764,1626,2.5,4,6,0,5.0,2,2.0,2Story,VinylSd,Stone,PConc,BuiltIn,155000
6,6,4,4,756.0,5,768,1524,2.5,4,4,0,6.0,1,2.0,2Story,MetalSd,BrkFace,PConc,Detchd,166000
4,59,3,3,1122.0,3,1328,1981,3.0,4,7,3,28.0,1,2.0,1.5Fin,WdShing,None,BrkTil,Detchd,135000
7,28,3,4,1392.0,3,1392,2784,4.5,4,12,3,28.0,2,2.0,2Story,Plywood,BrkFace,CBlock,Attchd,250000
6,55,3,3,216.0,3,1575,1575,1.5,4,5,4,55.0,1,2.0,1Story,Wd Sdng,BrkFace,CBlock,Attchd,155000
6,41,3,3,663.0,3,663,1352,1.5,3,7,0,41.0,3,1.0,2Story,HdBoard,Stone,CBlock,Attchd,158000
7,5,4,4,600.0,5,600,1200,3.5,4,4,0,6.0,2,2.0,2Story,MetalSd,None,PConc,Detchd,149500
5,31,3,3,936.0,3,936,936,1.0,3,5,0,52.0,1,1.0,1Story,MetalSd,None,CBlock,Attchd,121000
6,54,3,3,1040.0,3,1040,1040,1.5,3,6,0,54.0,3,1.0,1Story,Wd Sdng,None,CBlock,Attchd,136000
6,12,3,4,916.0,4,916,1636,2.5,3,7,3,12.0,3,2.0,2Story,HdBoard,None,PConc,Attchd,173000
8,3,4,4,1152.0,5,1164,2270,2.5,4,9,4,11.0,3,3.0,2Story,VinylSd,BrkFace,PConc,Attchd,290000
8,0,4,4,1184.0,5,1184,2610,2.5,5,11,4,0.0,3,2.0,2Story,CemntBd,None,PConc,BuiltIn,303477
7,9,4,4,1420.0,4,1483,1483,2.5,3,4,3,33.0,2,2.0,1Story,Wd Sdng,None,CBlock,Attchd,270000
5,58,2,3,936.0,4,960,1740,1.0,5,6,4,88.0,1,1.0,1.5Fin,WdShing,None,BrkTil,Detchd,122250
5,54,3,3,1382.0,4,1382,1382,1.5,4,6,0,54.0,1,1.0,1Story,AsbShng,None,CBlock,Attchd,153000
7,12,3,4,531.0,3,567,1098,2.0,3,5,4,77.0,1,1.0,2Story,Wd Sdng,None,BrkTil,Detchd,148500
7,2,4,4,976.0,5,976,1708,2.0,4,7,0,2.0,1,2.0,2Story,VinylSd,Stone,PConc,Detchd,130000
9,1,5,5,1802.0,5,1802,1802,2.5,5,7,4,1.0,3,3.0,1Story,MetalSd,Stone,PConc,Attchd,372000
7,1,4,4,1362.0,5,1506,1506,2.0,4,6,4,1.0,3,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,213490
7,0,4,4,1508.0,5,1508,1508,2.0,4,5,3,1.0,2,2.0,1Story,VinylSd,Stone,PConc,Attchd,308030
7,11,4,5,1840.0,5,2032,2032,4.0,4,7,0,12.0,3,3.0,1Story,MetalSd,BrkFace,PConc,Attchd,300000
6,47,3,3,655.0,5,1194,1194,1.5,3,6,2,52.0,3,2.0,1Story,BrkFace,None,CBlock,BuiltIn,159500
7,2,4,4,970.0,5,970,1709,2.0,4,7,0,2.0,1,2.0,2Story,VinylSd,Stone,PConc,Detchd,137500
7,1,4,4,1616.0,5,1616,1616,2.0,4,7,0,1.0,2,3.0,1Story,VinylSd,BrkFace,PConc,Attchd,232000
6,58,4,3,768.0,3,768,768,1.0,3,4,0,78.0,1,2.0,1Story,Stucco,None,BrkTil,Detchd,93850
5,56,3,3,872.0,2,872,872,1.0,2,5,4,82.0,1,1.0,1Story,BrkFace,Stone,BrkTil,Detchd,105000
4,58,3,3,520.0,2,520,520,1.0,2,4,0,88.0,1,1.0,1Story,MetalSd,None,BrkTil,Detchd,68500
5,50,3,3,1105.0,3,1105,2274,2.0,3,12,0,50.0,1,2.0,2Story,MetalSd,BrkFace,CBlock,Detchd,154300
5,57,3,3,616.0,5,616,1232,1.0,3,6,0,87.0,1,2.0,2Story,MetalSd,None,BrkTil,Detchd,114000
9,0,5,5,2216.0,5,2234,2234,3.0,5,9,4,0.0,3,3.0,1Story,VinylSd,Stone,PConc,Attchd,501837
5,58,3,3,876.0,4,876,1416,1.5,3,7,4,59.0,1,3.0,1.5Fin,Wd Sdng,None,BrkTil,Detchd,153900
4,3,3,3,864.0,4,864,864,1.0,3,5,0,23.0,1,2.0,1Story,VinylSd,None,CBlock,Detchd,130000
6,11,3,5,1189.0,5,1189,1189,3.0,3,4,0,11.0,2,2.0,1Story,VinylSd,BrkFace,PConc,Attchd,160500
