open_porch_sf,mas_vnr_area,lot_area,bsmtfin_type_1,ms_zoning,lot_config
44,289.0,13517,6,RL,CulDSac
74,132.0,11492,6,RL,CulDSac
52,0.0,7922,6,RL,Inside
0,0.0,9802,1,RL,Inside
59,0.0,14235,1,RL,Inside
0,0.0,16492,5,RL,Corner
44,82.0,3675,6,RM,Inside
0,180.0,12160,3,RL,Inside
324,0.0,15783,3,RL,Inside
0,192.0,11606,3,RL,Inside
0,232.0,1680,5,RM,Inside
58,0.0,7488,6,RL,Inside
0,0.0,26400,0,RL,FR2
0,456.0,2645,6,FV,Inside
50,0.0,9627,6,RL,Inside
0,0.0,10114,1,RL,Inside
0,0.0,4571,1,RM,Inside
80,0.0,8816,3,RL,Corner
0,148.0,8197,1,RL,Inside
45,0.0,8640,6,FV,Inside
0,0.0,8724,4,RL,Inside
59,0.0,5664,6,RL,Inside
21,0.0,7980,5,RL,Inside
0,0.0,34650,3,RL,Inside
49,3.0,10573,3,RL,Corner
144,0.0,8450,6,RL,Inside
40,0.0,11700,4,RL,Inside
0,0.0,8064,1,RL,Corner
120,0.0,9600,5,RL,Inside
0,0.0,11435,1,RL,Corner
30,0.0,9549,2,RL,CulDSac
48,0.0,10950,5,RL,Inside
44,336.0,10637,6,RL,Inside
28,82.0,9000,1,RL,Inside
26,0.0,2665,5,RM,Inside
122,480.0,11751,4,RL,Inside
0,320.0,9600,5,RL,Inside
0,0.0,8428,6,RL,Inside
68,0.0,9937,4,RL,Inside
30,104.0,9101,6,RL,Corner
0,335.0,12150,1,RM,Inside
0,0.0,11200,3,RL,Inside
0,40.0,9670,2,RL,Inside
68,0.0,10998,2,RL,Inside
0,0.0,7200,1,RL,Inside
0,110.0,9920,3,RL,Inside
27,106.0,2448,1,RL,Inside
32,513.0,2998,6,FV,Inside
44,0.0,7804,4,RL,Inside
112,184.0,16692,4,RL,Inside
0,522.0,10170,1,RL,Corner
36,143.0,9364,5,RL,Corner
172,0.0,2544,6,FV,Inside
0,0.0,9888,4,RL,Inside
0,0.0,7942,3,RL,Inside
84,0.0,15038,3,RL,Corner
57,348.0,11764,6,RL,CulDSac
364,0.0,9000,6,FV,Inside
0,0.0,20062,5,RL,Inside
0,0.0,7308,3,RM,Corner
0,0.0,8750,3,RL,Inside
0,0.0,4000,6,RL,Inside
40,117.0,3363,1,RM,Inside
105,510.0,13615,1,RL,Corner
20,145.0,3013,6,RL,Inside
0,96.0,17485,6,RL,Inside
46,668.0,23730,6,RL,Inside
0,0.0,8910,5,RL,Corner
40,50.0,2522,1,RM,Inside
59,228.0,8688,1,RL,Inside
0,0.0,6291,1,RM,Inside
0,65.0,17529,1,RL,Inside
0,0.0,6324,1,RM,Inside
0,361.0,11600,3,RL,Corner
0,0.0,4571,4,RM,Inside
60,748.0,17423,6,RL,CulDSac
0,0.0,12665,1,RM,Inside
0,0.0,9000,5,RL,FR2
122,197.0,4500,6,RM,FR2
75,572.0,6373,6,RL,Inside
0,0.0,13300,3,RL,Inside
11,128.0,9600,5,RL,Inside
172,120.0,3215,6,FV,Inside
0,0.0,11104,6,RL,Inside
32,254.0,15295,6,RL,Corner
32,0.0,9109,2,RL,Inside
0,0.0,7018,0,RL,Inside
0,86.0,14112,6,RL,Corner
60,30.0,3523,6,FV,Inside
0,54.0,15312,4,RL,Inside
72,0.0,7450,3,RL,Inside
47,246.0,7313,6,RL,Inside
169,397.0,10019,5,RL,Inside
76,296.0,15401,6,RL,CulDSac
90,0.0,16280,6,RL,Inside
192,0.0,12209,5,RL,CulDSac
153,144.0,13110,6,RL,Corner
50,0.0,2651,6,FV,FR2
15,0.0,8520,3,RM,Inside
189,902.0,39384,5,RL,CulDSac
27,106.0,2628,1,RL,Inside
36,0.0,6406,5,RM,Inside
0,0.0,12342,1,RL,Inside
0,0.0,6240,1,RM,Inside
0,261.0,10000,1,RL,Corner
0,144.0,11088,5,RL,Inside
140,132.0,17755,4,RL,Inside
68,260.0,4765,6,FV,Inside
84,275.0,10532,3,RL,Corner
99,0.0,15426,6,RL,Inside
35,0.0,8750,3,RL,Inside
0,57.0,9945,3,RL,Inside
0,0.0,8960,1,RM,Inside
35,0.0,3500,2,RM,Inside
70,1050.0,24572,6,RL,CulDSac
35,0.0,9056,1,RL,Inside
0,0.0,12320,1,RL,Inside
72,0.0,8238,6,RL,Inside
180,0.0,6000,3,RM,Inside
38,0.0,2529,5,RL,Inside
0,0.0,10800,1,RL,Inside
28,0.0,2349,5,RL,Inside
30,0.0,10846,6,RL,CulDSac
0,359.0,1680,2,RM,Inside
73,108.0,4590,6,RL,Inside
34,662.0,18062,1,RL,CulDSac
0,0.0,19138,2,RL,Corner
0,0.0,8658,5,RL,Inside
104,0.0,6897,5,RL,Corner
0,0.0,9525,4,RL,Inside
192,0.0,12853,6,FV,Inside
0,0.0,6240,2,RM,Inside
0,500.0,7301,0,RL,Corner
0,210.0,12090,6,RL,Inside
96,144.0,8826,6,RL,Inside
0,0.0,8094,1,RM,Inside
162,165.0,10710,4,RL,Inside
108,208.0,16056,6,RL,Inside
0,0.0,8400,5,RL,Inside
170,0.0,11250,6,RL,Corner
285,0.0,7535,4,RL,Inside
23,0.0,12216,6,RL,Corner
70,0.0,3701,1,RL,Inside
128,360.0,9760,6,RL,Inside
288,160.0,9873,5,RL,Inside
0,64.0,10011,4,RL,Inside
0,0.0,25339,1,RL,Inside
48,360.0,8883,6,RL,Inside
27,106.0,2448,6,RL,Inside
0,0.0,7100,6,RL,Corner
0,0.0,2592,3,RM,Inside
0,0.0,5700,1,RM,Inside
0,0.0,2289,5,RL,Inside
0,0.0,12180,4,RL,Inside
0,0.0,7400,2,RL,CulDSac
0,0.0,8842,1,RL,Corner
54,0.0,8850,1,RL,Inside
136,0.0,9215,1,FV,Inside
0,224.0,9480,2,RL,Inside
0,206.0,11880,5,RL,Inside
299,0.0,10800,1,RM,Inside
75,0.0,7861,6,RL,Inside
20,116.0,11616,2,RL,Inside
154,651.0,10542,6,RL,Inside
0,504.0,1680,3,RM,Inside
64,0.0,8546,1,RM,Corner
158,0.0,7407,6,RM,Inside
88,0.0,10140,5,RL,Inside
0,0.0,14584,0,A (agr),Inside
63,252.0,8158,6,RL,Inside
144,0.0,7500,1,FV,Inside
33,337.0,10678,6,RL,Inside
