date,species_nr,latitude,longitude,addressaccuracy,nummosquitos,wnvpresent,trap_rank,tmax,tmin,tavg,depart,dewpoint,wetbulb,sunrise,sunset,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,temp_diff,week,year,FG,TS,lag_1_tavg,lag_2_tavg,lag_1_preciptotal,lag_2_preciptotal
2007-05-29,1.0,41.688324,-87.676709,8,1,0,0,88.0,62.5,75.25,10.0,58.5,65.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,10.25,22.0,2007.0,0.0,0.0,56.25,73.25,0.345,0.0
2007-05-29,1.0,41.720848,-87.666014,9,3,0,0,88.0,62.5,75.25,10.0,58.5,65.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,10.25,22.0,2007.0,0.0,0.0,56.25,73.25,0.345,0.0
2007-05-29,1.0,41.731922,-87.677512,8,5,0,0,88.0,62.5,75.25,10.0,58.5,65.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,10.25,22.0,2007.0,0.0,0.0,56.25,73.25,0.345,0.0
2007-05-29,1.0,41.732984,-87.649642,8,1,0,0,88.0,62.5,75.25,10.0,58.5,65.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,10.25,22.0,2007.0,0.0,0.0,56.25,73.25,0.345,0.0
2007-05-29,1.0,41.862292,-87.64886,8,1,0,0,88.0,62.5,75.25,10.0,58.5,65.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,10.25,22.0,2007.0,0.0,0.0,56.25,73.25,0.345,0.0
2007-05-29,1.0,41.867108,-87.654224,8,2,0,0,88.0,62.5,75.25,10.0,58.5,65.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,10.25,22.0,2007.0,0.0,0.0,56.25,73.25,0.345,0.0
2007-05-29,1.0,41.891118,-87.654491,8,1,0,0,88.0,62.5,75.25,10.0,58.5,65.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,10.25,22.0,2007.0,0.0,0.0,56.25,73.25,0.345,0.0
2007-05-29,1.0,41.891126,-87.61156,5,2,0,0,88.0,62.5,75.25,10.0,58.5,65.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,10.25,22.0,2007.0,0.0,0.0,56.25,73.25,0.345,0.0
2007-05-29,1.0,41.896282,-87.655232,8,1,0,0,88.0,62.5,75.25,10.0,58.5,65.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,10.25,22.0,2007.0,0.0,0.0,56.25,73.25,0.345,0.0
2007-05-29,1.0,41.907645,-87.760886,8,1,0,0,88.0,62.5,75.25,10.0,58.5,65.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,10.25,22.0,2007.0,0.0,0.0,56.25,73.25,0.345,0.0
2007-05-29,1.0,41.9216,-87.666455,8,2,0,0,88.0,62.5,75.25,10.0,58.5,65.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,10.25,22.0,2007.0,0.0,0.0,56.25,73.25,0.345,0.0
